type	count
AchievementListVariable	2
AchievementSO	50
ActionableListVariable	2
AdvancementListVariable	1
AdvancementSO	48
AlchemyInstanceListVariable	2
AlchemyRecipeListVariable	3
AlchemyRecipeSO	125
AlchemyRecipeVariable	1
AlchemySnapshotListVariable	1
AlchemyTypeListVariable	3
AlchemyTypeSO	9
AnimationEffectSO	23
AnimationSO	13
AttributeGroupListVariable	1
AttributeGroupSO	24
AttributeListVariable	1
AttributeSO	211
AutoPurchaseListVariable	1
BoolVariable	13
ChallengeListVariable	3
ChallengeSO	98
ChallengeTypeSO	7
CharacterActionSO	11
CharacterAttributeSO	8
CharacterListVariable	3
CharacterModifierSO	4
CharacterSO	21
CharacterTypeSO	1
CombatEffectInstanceListVariable	1
CombatStatusSO	8
CombatTargetSO	5
ConditionalTextList	1
ConsumableRefListVariable	2
ConsumableSO	68
ConsumableTypeSO	10
CraftingInstanceListVariable	4
CraftingRecipeListVariable	3
CraftingRecipeSO	14
CraftingRecipeTypeSO	2
CraftingStructureListVariable	1
CraftingStructureRefListVariable	1
CraftingStructureSO	1
DamageTypeSO	7
DiscoveryTreeListVariable	1
DiscoveryTreeSO	7
DisplayEffectSO	10
DisplayTypeSO	3
DoubleVariable	82
EnchantmentSO	8
EngagedEffectListVariable	1
EquipmentListVariable	2
EquipmentSO	71
EquipmentSnapshotListVariable	1
EquipmentTypeListVariable	3
EquipmentTypeSO	19
EventLogListVariable	1
FilterVariable	4
GlyphListVariable	9
GlyphSO	47
GlyphTypeSO	6
GuidVariable	6
HarvestActionInstanceListVariable	1
HarvestActionListVariable	1
HarvestActionSO	6
HarvestActionTypeSO	7
HarvestElementListVariable	3
HarvestElementSO	7
HarvestTypeListVariable	1
HarvestTypeSO	3
InstanceScalingSO	11
IntVariable	70
KeyBindingListVariable	4
KeyBindingVariable	52
LocalizedStringListVariable	1
LocalizedStringSO	61
ModifierListVariable	43
MusicTrackListVariable	2
MusicTrackSO	10
NumberListVariable	1
PassiveAbilityListVariable	1
PassiveAbilityRefListVariable	1
PassiveAbilitySO	63
PassiveAbilityTypeSO	10
PinnedObjectListVariable	1
PlayerCharacter	1
PlayerLoadoutListVariable	1
PlotNodeActionInstanceListVariable	1
PlotNodeActionListVariable	1
PlotNodeActionSO	38
PlotNodeListVariable	2
PlotNodeSO	14
PlotNodeTypeListVariable	1
PlotNodeTypeSO	6
PrerequisiteLinkSO	41
RandomVariable	1
RasteredThoughtListVariable	1
RecipeBookListVariable	7
RecipeBookSO	34
ResearchListVariable	6
ResearchSO	148
ResearchTypeListVariable	1
ResearchTypeSO	11
ResearchVariable	1
ResourceListVariable	20
ResourceSO	80
ResourceTypeListVariable	2
ResourceTypeSO	21
RitualListVariable	1
RitualSO	32
RitualTypeSO	4
RitualVariable	3
RuneStoneListVariable	2
RuneStoneSO	4
ScalingWeightSO	55
SpellListVariable	1
SpellRecipeListVariable	1
SpellRecipeSO	65
SpellRecipeVariable	1
SpellTypeListVariable	1
SpellTypeSO	15
SpellVariable	1
StatusEffectListVariable	1
StringVariable	7
StructureListVariable	9
StructureSO	180
StructureTypeListVariable	1
StructureTypeSO	32
ThoughtStreamListVariable	1
ThoughtStreamSO	1
TimeRuneListVariable	1
TimeRuneSO	62
TimeRuneTypeSO	6
TreasurePoolSO	5
TutorialSO	34
UpgradeListVariable	9
UpgradeSO	229
UpgradeableObjectVariable	1
ValueModifierVariable	33
ViewListVariable	24
ViewSO	98
